"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.655488334E-1,7.052903480E-1,-6.672197847E-1,-1.903618358E0
7.755268333E-1,4.260227238E-1,-4.554453282E-1,-1.705611171E0
7.855038334E-1,4.386443773E-1,-1.234120645E-1,-1.822142086E0
7.954818333E-1,6.004579575E-1,1.346249776E-1,-1.796937663E0
8.054598334E-1,3.682148840E-1,-2.546170056E-1,-1.220813844E0
8.154368333E-1,-2.881149732E-2,-1.108248510E0,-1.144387811E-1
8.254148334E-1,-4.519429191E-1,-1.947509021E0,8.114374119E-1
8.353918333E-1,-7.108252493E-1,-2.198924384E0,1.115804282E0
8.453698333E-1,-6.368685693E-1,-1.926201913E0,8.621590841E-1
8.553478333E-1,-3.256984999E-1,-1.381578360E0,5.040118629E-1
8.653248333E-1,1.813500413E-1,-6.469131356E-1,3.224043614E-1
8.753028333E-1,6.409578196E-1,9.094671518E-2,6.057247639E-2
8.852808333E-1,1.002105613E0,8.046148807E-1,-2.863936990E-1
8.952578334E-1,1.413291904E0,1.416556697E0,-5.142129153E-1
9.052355000E-1,1.660001866E0,1.487006143E0,-5.714431232E-1
9.152125000E-1,1.806439388E0,1.134975256E0,-5.516935676E-1
9.251905000E-1,1.442019713E0,5.211817731E-1,-2.595140487E-1
9.351685000E-1,6.141229735E-1,-1.609447570E-1,2.458286405E-1
9.451455000E-1,1.964002993E-2,-9.567155778E-1,7.360130078E-1
9.551235000E-1,-6.849041037E-1,-1.211010840E0,1.807985977E0
9.651015000E-1,-6.280802042E-1,-5.250399122E-1,2.368762025E0
9.750785000E-1,-1.023624536E-2,-4.071558054E-1,2.229117066E0
9.850565000E-1,6.372077078E-1,-4.900979747E-1,8.345947248E-1
9.950335000E-1,1.108681497E0,-1.727654882E-1,-7.257131374E-1
1.005011500E0,1.150105657E0,2.511705105E-1,-1.736543527E0
1.014989500E0,8.834936737E-1,3.978919154E-1,-1.790658923E0
1.024966500E0,6.156590919E-2,3.718259051E-2,-1.314698492E0
1.034944500E0,-9.022347307E-1,-4.889188837E-1,-5.404943955E-1
1.044922500E0,-9.210861540E-1,-7.459370483E-1,1.496238166E-1
1.054899500E0,-5.995971742E-1,-9.155137575E-1,6.155667973E-1
1.064877500E0,-3.025880379E-1,-7.576184696E-1,5.078295100E-1
1.074854500E0,3.685518755E-2,-2.273227876E-1,1.798662007E-1
1.084832500E0,3.599451669E-1,1.614835779E-1,-3.892783821E-2
1.094810500E0,6.361475345E-1,1.310915051E-1,6.027134478E-2
1.104787500E0,7.481016145E-1,-1.523509580E-1,2.110014546E-1
1.114765500E0,6.409792350E-1,-2.714834453E-1,5.162506700E-2
1.124742500E0,4.690165696E-1,-2.303802967E-3,-1.313658857E-1
1.134720500E0,1.732729534E-1,3.440090923E-1,-8.100907981E-2
1.144698500E0,-2.476261476E-1,4.442195512E-1,5.965621769E-2
1.154675500E0,-1.002647357E0,8.162976176E-2,7.380940318E-2
1.164653500E0,-1.319010521E0,-4.090432866E-1,9.058155656E-2
1.174631500E0,-9.503988308E-1,-5.589005533E-1,4.634982598E-1
1.184608500E0,-4.488216389E-1,-4.116910520E-1,6.330979192E-1
1.194586500E0,-2.046694317E-1,-7.289489865E-2,2.972946632E-1
1.204564500E0,-2.105298036E-1,2.974225710E-1,-1.807690108E-1
1.214541500E0,-1.139108598E-1,4.397857538E-1,-3.227288818E-1
1.224519500E0,-6.040365631E-3,3.740022388E-1,-9.437873840E-2
1.234496500E0,-5.066209453E-2,3.918777618E-1,4.792062199E-1
1.244474500E0,-2.000223753E-2,3.783012579E-1,1.047545056E0
1.254452500E0,-2.202267164E-1,1.797226515E-1,1.255633428E0
1.264429500E0,-2.682632009E-1,-4.860673428E-2,9.649180520E-1
1.274407500E0,-3.442869447E-1,-1.885841069E-1,3.226481903E-1
1.284385500E0,-5.917002171E-1,-1.183761500E-1,-2.614026994E-1
1.294362500E0,-6.779834124E-1,1.275178331E-1,-3.762192106E-1
1.304340500E0,-4.262353431E-1,4.063538598E-1,-9.879806399E-2
1.314317500E0,-1.651098384E-1,4.231686978E-1,5.159705883E-1
1.324295500E0,2.619923545E-1,2.176313201E-1,1.404795899E0
1.334273500E0,9.646734556E-2,-2.570101248E-1,1.480082309E0
1.344250500E0,-5.444546781E-1,-5.955837916E-1,7.585756588E-1
1.354228500E0,-7.621339819E-1,-5.742234743E-1,-3.048147672E-1
1.364205500E0,-5.059263875E-1,-2.325563380E-1,-1.032648105E0
1.374183500E0,-2.325588231E-1,2.246535337E-1,-8.871354657E-1
1.384161500E0,1.544220783E-1,3.664071442E-1,-3.854946488E-1
1.394138500E0,4.617429987E-1,8.177082583E-2,-1.697972953E-1
1.404116500E0,3.686546312E-1,-2.058610211E-1,-2.758517540E-1
1.414094500E0,7.826852638E-2,-2.885157998E-1,-4.558033240E-1
1.424071500E0,-1.941286195E-1,-2.348335361E-1,-2.773492259E-1
1.434049500E0,-2.206021807E-1,-2.310594508E-1,1.771349663E-1
1.444026500E0,-1.103141187E-1,-3.410514244E-1,3.955933750E-1
1.454004500E0,-4.605877351E-2,-4.396248092E-1,5.037709576E-1
1.463982500E0,2.014171738E-1,-4.739796862E-1,6.948351610E-1
1.473959500E0,3.553066073E-1,-3.537600553E-1,5.655497146E-1
1.483937500E0,3.982741772E-1,-8.724162698E-2,2.103839886E-1
1.493915500E0,4.433369140E-1,1.318823411E-1,-3.296437991E-1
1.503892500E0,4.036293131E-1,2.427696696E-1,-7.954441077E-1
1.513870500E0,3.637577708E-1,3.872350726E-1,-9.363760382E-1
1.523847500E0,3.143375792E-1,3.728756265E-1,-9.276104772E-1
1.533825500E0,2.095290161E-1,2.150072359E-1,-4.167591262E-1
1.543803500E0,1.778223795E-1,-1.260956441E-1,3.243590856E-1
