"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.976193976E1,6.507741953E1,2.552605034E1,2.436475093E1,1.460308608E0,2.075687845E2,4.748651478E0,3.570420090E0
4.076190019E1,6.507740582E1,2.552604545E1,2.420880892E1,1.437251409E0,2.044596863E2,4.748651478E0,3.589831372E0
4.176186156E1,6.507739344E1,2.552603084E1,2.381490382E1,1.529825459E0,2.044596863E2,4.748651474E0,3.611286093E0
4.276182401E1,6.507738378E1,2.552601938E1,2.357128228E1,1.529209432E0,2.044596863E2,4.748651477E0,3.602936752E0
4.376178813E1,6.507737070E1,2.552600365E1,2.350299296E1,1.558506550E0,2.044596863E2,4.748651472E0,3.604359932E0
4.476175523E1,6.507735948E1,2.552599517E1,2.356760053E1,1.486158617E0,2.044596863E2,4.748651474E0,3.595775816E0
4.576172304E1,6.507734975E1,2.552597848E1,2.335718385E1,1.505340925E0,2.037536316E2,4.748651456E0,3.693909096E0
4.676169252E1,6.507733807E1,2.552596794E1,2.317686663E1,1.564053015E0,2.000045166E2,4.748651446E0,3.641051639E0
4.776166415E1,6.507732980E1,2.552595193E1,2.295023239E1,1.211281524E0,2.000045166E2,4.748651478E0,3.639946165E0
4.876163602E1,6.507731912E1,2.552592897E1,2.285982340E1,1.529062544E0,2.000045166E2,4.748651470E0,3.514156140E0
4.976160979E1,6.507730461E1,2.552591681E1,2.283351787E1,1.566699848E0,1.979147034E2,4.748651449E0,3.632876574E0
5.076158488E1,6.507729569E1,2.552590444E1,2.269537169E1,1.554634483E0,1.979147034E2,4.748651451E0,3.601283603E0
5.176156032E1,6.507728458E1,2.552589384E1,2.238700783E1,1.547915132E0,1.979147034E2,4.748651471E0,3.422013058E0
5.276153660E1,6.507727348E1,2.552588908E1,2.220483029E1,1.457627819E0,1.943767853E2,4.748651477E0,3.411846258E0
5.376151431E1,6.507726373E1,2.552588051E1,2.195265703E1,1.441095076E0,1.943767853E2,4.748651472E0,3.521242373E0
5.476149249E1,6.507724811E1,2.552588924E1,2.241342132E1,1.545819149E0,1.943767853E2,4.748651467E0,3.525487757E0
5.576147354E1,6.507723442E1,2.552588672E1,2.231838718E1,1.420659842E0,1.904064636E2,4.748651487E0,3.374084835E0
5.676145220E1,6.507721658E1,2.552588014E1,2.210763866E1,1.613392644E0,1.904064636E2,4.748651479E0,3.289042042E0
5.776143312E1,6.507720489E1,2.552587485E1,2.199474352E1,1.549726402E0,1.875692444E2,4.748651484E0,3.215712087E0
5.876141465E1,6.507719421E1,2.552587331E1,2.169209292E1,1.456942179E0,1.859116669E2,4.748651479E0,3.269201799E0
5.976139688E1,6.507717661E1,2.552586625E1,2.150701695E1,1.548866928E0,1.859116669E2,4.748651491E0,3.133285408E0
6.076137936E1,6.507716274E1,2.552585700E1,2.135163302E1,1.575582705E0,1.859116669E2,4.748651491E0,3.112644743E0
6.176136351E1,6.507715573E1,2.552585297E1,2.114126033E1,1.489814538E0,1.859116669E2,4.748651493E0,3.178946495E0
6.276134670E1,6.507714162E1,2.552585026E1,2.109089379E1,1.564838585E0,1.859116669E2,4.748651490E0,3.215586592E0
6.376133156E1,6.507712856E1,2.552585881E1,2.102719359E1,1.513242505E0,1.840039825E2,4.748651491E0,3.248580836E0
6.476131594E1,6.507711100E1,2.552583863E1,2.111457708E1,1.302013155E0,1.840039825E2,4.748651413E0,5.521424998E0
6.576130080E1,6.507709765E1,2.552583506E1,2.111620302E1,1.223477223E0,1.840039825E2,4.748651426E0,5.520223621E0
6.676128626E1,6.507708393E1,2.552582936E1,2.123077508E1,1.292760656E0,1.840039825E2,4.748651422E0,5.533311406E0
6.776127303E1,6.507706921E1,2.552582495E1,2.113656878E1,1.375027555E0,1.840039825E2,4.748651419E0,5.181875713E0
6.876125872E1,6.507705548E1,2.552582357E1,2.126048325E1,1.369163590E0,1.840039825E2,4.748651412E0,5.252564335E0
6.976124549E1,6.507703990E1,2.552582059E1,2.165339256E1,1.481134750E0,1.840039825E2,4.748651408E0,5.164114583E0
7.076123273E1,6.507703025E1,2.552581932E1,2.154183676E1,1.187935701E0,1.840039825E2,4.748651440E0,5.586614593E0
7.176121998E1,6.507701576E1,2.552581542E1,2.166446228E1,1.400798910E0,1.840039825E2,4.748651440E0,5.247141406E0
7.276120842E1,6.507700127E1,2.552581413E1,2.163567781E1,1.390972369E0,1.840039825E2,4.748651441E0,5.252665805E0
7.376119530E1,6.507698835E1,2.552581552E1,2.154866596E1,1.347267107E0,1.840039825E2,4.748651444E0,5.426373398E0
7.476118350E1,6.507697575E1,2.552581362E1,2.145697034E1,1.441002101E0,1.840039825E2,4.748651450E0,5.221929831E0
7.576117229E1,6.507696622E1,2.552581085E1,2.125161581E1,1.302689464E0,1.859481201E2,4.748651458E0,5.419385480E0
7.676116085E1,6.507695577E1,2.552580197E1,2.135177772E1,1.390416146E0,1.859481201E2,4.748651460E0,5.318859421E0
7.776114953E1,6.507695044E1,2.552579631E1,2.182367933E1,9.218372207E-1,1.859481201E2,4.748651494E0,5.242907842E0
7.876113844E1,6.507694289E1,2.552579467E1,2.038632684E1,8.329310411E-1,1.859481201E2,4.748651495E0,5.331544240E0
7.976112688E1,6.507692605E1,2.552578976E1,2.035364523E1,1.334184182E0,1.872091522E2,4.748651469E0,5.395373440E0
8.076111662E1,6.507690956E1,2.552579034E1,2.062606857E1,1.573943521E0,1.872091522E2,4.748651464E0,5.357902393E0
8.176110566E1,6.507689989E1,2.552579278E1,2.030136447E1,1.227595089E0,1.872091522E2,4.748651467E0,5.806195572E0
8.276109588E1,6.507688617E1,2.552578599E1,2.002265457E1,1.421087395E0,1.854007568E2,4.748651468E0,5.374710673E0
8.376108539E1,6.507687204E1,2.552578170E1,2.021940398E1,1.487646480E0,1.854007568E2,4.748651446E0,5.399947921E0
